# 泰深输入法专业词库 — 医学
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一年生植物	yinianshengzhiwu
复脉定胶囊	fumaidingjiaonang
复脉汤	fumaitang
夏天无滴眼液	xiatianwudiyanye
夏天无片	xiatianwupian
夏季热	xiajire
夏季皮炎	xiajipiyan
夏枯草口服液	xiakucaokoufuye
夏枯草胶囊	xiakucaojiaonang
夏枯草膏	xiakucaogao
夏桑菊颗粒	xiasangjukeli
夏科	xiake
夏鸟	xianiao
外上髁	waishangke
外伤性白内障	waishangxingbaineizhang
外侧半月板	waicebanyueban
外关穴	waiguanxue
外劳宫	wailaogong
外周阻力	waizhouzuli
外周静脉压	waizhoujingmaiya
外展	waizhan
外感风寒	waiganfenghan
外感风寒颗粒	waiganfenghankeli
外斐氏反应	waifeishifanying
外斜视	waixieshi
外显记忆	waixianjiyi
外板	waiban
外消旋体	waixiaoxuanti
外源凝集素	waiyuanningjisu
外源基因	waiyuanjiyin
外源性感染	waiyuanxingganran
外照射急性放射病	waizhaoshejixingfangshebing
外照射慢性放射病	waizhaoshemanxingfangshebing
外用应急软膏	waiyongyingjiruangao
外用无敌膏	waiyongwudigao
外科护理学	waikehulixue
外科疾病	waikejibing
外翻足	waifanzu
外耳道乳头状瘤	waierdaorutouzhuangliu
外耳道异物	waierdaoyiwu
外耳道疖	waierdaojie
外耳道胆脂瘤	waierdaodanzhiliu
外耳道闭锁	waierdaobisuo
外胚层发育不良	waipeicengfayubuliang
外踝尖	waihuaijian
外阴尖锐湿疣	waiyinjianruishiyou
外阴溃疡	waiyinkuiyang
外阴瘙痒	waiyinsaoyang
外阴癌根治术	waiyinaigenzhishu
外阴白色病变	waiyinbaisebingbian
外阴萎缩	waiyinweisuo
外阴营养不良	waiyinyingyangbuliang
外阴阴道炎	waiyinyindaoyan
外隐斜	waiyinxie
外鼻	waibi
多不饱和脂肪酸	duobubaohezhifangsuan
多乳房	duorufang
多价疫苗	duojiayimiao
多功能酶	duogongnengmei
多动宁胶囊	duodongningjiaonang
多发伤	duofashang
多发性大动脉炎	duofaxingdadongmaiyan
多发性硬化	duofaxingyinghua
多发性神经纤维瘤	duofaxingshenjingxianweiliu
多发性肌炎	duofaxingjiyan
多发性肾结石	duofaxingshenjieshi
多发性脂肪瘤	duofaxingzhifangliu
多发性脑梗塞	duofaxingnaogengse
多发性骨折	duofaxingguzhe
多发性骨髓瘤	duofaxinggusuiliu
多器官功能衰竭	duoqiguangongnengshuaijie
多囊卵巢综合征	duonangluanchaozonghezheng
多囊肝	duonanggan
多基因病	duojiyinbing
多塞平	duosaiping
多奈哌齐	duonaipaiqi
多尿	duoniao
多巴丝肼	duobasijing
多巴丝肼片	duobasijingpian
多巴胺受体	duobaanshouti
多廿烷醇	duonianwanchun
多形性日光疹	duoxingxingriguangzhen
多形性红斑	duoxingxinghongban
多形红斑	duoxinghongban
多普勒检查	duopuleijiancha
多毛症	duomaozheng
多沙唑嗪	duoshazuoqin
多潘立酮分散片	duopanlitongfensanpian
多潘立酮片	duopanlitongpian
多潜能性	duoqiannengxing
多烯磷脂酰胆碱	duoxilinzhixiandanjian
多烯紫杉醇	duoxizishanchun
多烯酸乙酯	duoxisuanyizhi
多生牙	duoshengya
多生齿	duoshengchi
多糖疫苗	duotangyimiao
多糖铁复合物胶囊	duotangtiefuhewujiaonang
多糖铁胶囊	duotangtiejiaonang
多系统萎缩	duoxitongweisuo
多索茶碱注射液	duosuochajianzhusheye
多维元素片	duoweiyuansupian
多维元素胶囊	duoweiyuansujiaonang
多维铁口服溶液	duoweitiekoufurongye
多聚酶	duojumei
多肌炎	duojiyan
多胎妊娠	duotairenshen
多能性	duonengxing
多血质	duoxuezhi
多西他赛	duoxitasai
多西他赛注射液	duoxitasaizhusheye
多西环素	duoxihuansu
多西紫杉醇	duoxizishanchun
多趾	duozhi
多黏菌素	duonianjunsu
夜交藤	yejiaoteng
夜尿	yeniao
夜尿宁丸	yeniaoningwan
夜语	yeyu
大于胎龄儿	dayutailinger
大便潜血	dabianqianxue
大力补	dalibu
大劣按蚊	dalieanwen
大动脉转位	dadongmaizhuanwei
大包穴	dabaoxue
大医精诚	dayijingcheng
大印象减肥茶	dayinxiangjianfeicha
大口畸形	dakoujixing
大叶性肺炎	dayexingfeiyan
大叶紫珠	dayezizhu
大学物理实验	daxuewulishiyan
大学英语口语	daxueyingyukouyu
大定风珠	dadingfengzhu
大实有羸状	dashiyouleizhuang
大小恒常性	daxiaohengchangxing
大小知觉	daxiaozhijue
大小蓟	daxiaoji
大山楂丸	dashanzhawan
大巨	daju
大巨穴	dajuxue
大承气汤	dachengqitang
大收肌	dashouji
大敦	dadun
大敦穴	dadunxue
大明胶囊	damingjiaonang
大果木姜子	daguomujiangzi
大枫子	dafengzi
大柴胡汤	dachaihutang
大横	daheng
大横穴	dahengxue
大汗腺	dahanxian
大泡性肺气肿	dapaoxingfeiqizhong
大活络丸	dahuoluowan
大活络丹	dahuoluodan
大活络胶囊	dahuoluojiaonang
大疱性类天疱疮	dapaoxingleitianpaochuang
大疱性表皮松解症	dapaoxingbiaopisongjiezheng
大疱性鼓膜炎	dapaoxinggumoyan
大细胞性贫血	daxibaoxingpinxue
大结节	dajiejie
大网膜	dawangmo
大肠俞	dachangyu
大肠俞穴	dachangyuxue
大肠埃希菌	dachangaixijun
大肠恶性肿瘤	dachangexingzhongliu
大肠杆菌内毒素	dachangganjunneidusu
大肠梗阻	dachanggengzu
大肠湿热	dachangshire
大脑前动脉	danaoqiandongmai
大脑后动脉	danaohoudongmai
大脑大静脉	danaodajingmai
大腿截肢术	datuijiezhishu
大腿长	datuizhang
大花红景天	dahuahongjingtian
大英雄	dayingxiong
大蒜油软胶囊	dasuanyouruanjiaonang
大蒜素胶囊	dasuansujiaonang
大蒜素软胶囊	dasuansuruanjiaonang
大蒜辣素	dasuanlasu
大补元煎	dabuyuanjian
大补阴丸	dabuyinwan
大观霉素	daguanmeisu
大角膜	dajiaomo
大豆苷	dadougan
大豆苷元	dadouganyuan
大败毒胶囊	dabaidujiaonang
大赫	dahe
大转子	dazhuanzi
大迎	daying
大迎穴	dayingxue
大量培养	daliangpeiyang
大长今	dazhangjin
大陵穴	dalingxue
大陷胸汤	daxianxiongtang
大隐静脉	dayinjingmai
大隐静脉曲张	dayinjingmaiquzhang
大青盐	daqingyan
大颗粒淋巴细胞	dakelilinbaxibao
大骨盆	dagupen
大骨空	dagukong
大黄流浸膏	dahuangliujingao
大黄牡丹汤	dahuangmudantang
大黄碳酸氢钠片	dahuangtansuanqingnapian
大黄素	dahuangsu
大黄素甲醚	dahuangsujiami
大黄蛰虫丸	dahuangzhechongwan
大黄通便颗粒	dahuangtongbiankeli
大黄酚	dahuangfen
大黄酸	dahuangsuan
大黄附子汤	dahuangfuzitang
天一止咳糖浆	tianyizhiketangjiang
天保宁	tianbaoning
天冲	tianchong
天冲穴	tianchongxue
天听	tianting
天和追风膏	tianhezhuifenggao
天和骨通贴膏	tianhegutongtiegao
天宗穴	tianzongxue
天府穴	tianfuxue
天方罗欣	tianfangluoxin
天普洛安	tianpuluoan
天智颗粒	tianzhikeli
天杞补肾胶囊	tianqibushenjiaonang
天枢穴	tianshuxue
天柱穴	tianzhuxue
天母降压片	tianmujiangyapian
天溪穴	tianxixue
天然冰片	tianranbingpian
天然抗体	tianrankangti
天然维生素	tianranweishengsu
天然药物化学	tianranyaowuhuaxue
天然药物学	tianranyaowuxue
天然食品	tianranshipin
天王补心丸	tianwangbuxinwan
天王补心丹	tianwangbuxindan
天胡荽愈肝片	tianhusuiyuganpian
天舒胶囊	tianshujiaonang
天芪降糖胶囊	tianqijiangtangjiaonang
天花病毒	tianhuabingdu
天花粉蛋白	tianhuafendanbai
天麦消渴片	tianmaixiaokepian
天麻丸	tianmawan
天麻头痛片	tianmatoutongpian
天麻头风灵胶囊	tianmatoufenglingjiaonang
天麻片	tianmapian
天麻素	tianmasu
天麻素注射液	tianmasuzhusheye
天麻胶囊	tianmajiaonang
天麻追风膏	tianmazhuifenggao
天麻醒脑胶囊	tianmaxingnaojiaonang
天麻钩藤颗粒	tianmagoutengkeli
天麻钩藤饮	tianmagoutengyin
天麻首乌片	tianmashouwupian
天麻首乌胶囊	tianmashouwujiaonang
太冲	taichong
太冲穴	taichongxue
太太口服液	taitaikoufuye
太子保心口服液	taizibaoxinkoufuye
太平惠民和剂局方	taipinghuiminhejijufang
太渊	taiyuan
太渊穴	taiyuanxue
太溪穴	taixixue
太田痣	taitianzhi
太阳病	taiyangbing
太阳神口服液	taiyangshenkoufuye
太阴病	taiyinbing
夫西地酸	fuxidisuan
夫西地酸钠	fuxidisuanna
失活	shihuo
失活剂	shihuoji
失能	shineng
失血性休克	shixuexingxiuke
失血性贫血	shixuexingpinxue
失访	shifang
头发移植	toufayizhi
头孢丙烯	toubaobingxi
头孢丙烯片	toubaobingxipian
头孢丙烯胶囊	toubaobingxijiaonang
头孢他定	toubaotading
头孢他美酯	toubaotameizhi
头孢克洛	toubaokeluo
头孢克洛分散片	toubaokeluofensanpian
头孢克洛干混悬剂	toubaokeluoganhunxuanji
头孢克洛片	toubaokeluopian
头孢克洛缓释片	toubaokeluohuanshipian
头孢克洛缓释胶囊	toubaokeluohuanshijiaonang
头孢克洛胶囊	toubaokeluojiaonang
头孢克洛颗粒	toubaokeluokeli
头孢克肟	toubaokewo
头孢克肟分散片	toubaokewofensanpian
头孢克肟干混悬剂	toubaokewoganhunxuanji
头孢克肟片	toubaokewopian
头孢克肟胶囊	toubaokewojiaonang
头孢克肟颗粒	toubaokewokeli
头孢匹胺	toubaopian
头孢匹胺钠	toubaopianna
头孢吡肟	toubaobiwo
头孢呋辛	toubaofuxin
头孢呋辛脂	toubaofuxinzhi
头孢呋辛酯分散片	toubaofuxinzhifensanpian
头孢呋辛酯片	toubaofuxinzhipian
头孢呋辛酯胶囊	toubaofuxinzhijiaonang
头孢咪唑	toubaomizuo
头孢哌酮钠	toubaopaitongna
头孢唑林	toubaozuolin
头孢唑林钠	toubaozuolinna
头孢唑肟	toubaozuowo
头孢唑肟钠	toubaozuowona
头孢噻肟	toubaosaiwo
头孢地嗪	toubaodiqin
头孢地尼	toubaodini
头孢地尼分散片	toubaodinifensanpian
头孢地尼胶囊	toubaodinijiaonang
头孢尼西	toubaonixi
头孢拉定	toubaolading
头孢拉定分散片	toubaoladingfensanpian
头孢拉定干混悬剂	toubaoladingganhunxuanji
头孢拉定片	toubaoladingpian
头孢拉定胶囊	toubaoladingjiaonang
头孢曲松钠	toubaoqusongna
头孢替唑	toubaotizuo
头孢替唑钠	toubaotizuona
头孢氨苄片	toubaoanbianpian
头孢氨苄缓释片	toubaoanbianhuanshipian
头孢氨苄缓释胶囊	toubaoanbianhuanshijiaonang
头孢氨苄胶囊	toubaoanbianjiaonang
头孢氨苄颗粒	toubaoanbiankeli
头孢沙定	toubaoshading
头孢泊肟酯	toubaopowozhi
头孢泊肟酯片	toubaopowozhipian
头孢特仑新戊酯	toubaotelunxinwuzhi
头孢磺啶	toubaohuangding
头孢米诺	toubaominuo
头孢米诺钠	toubaominuona
头孢美唑	toubaomeizuo
头孢美唑钠	toubaomeizuona
头孢羟氨苄	toubaoqianganbian
头孢羟氨苄胶囊	toubaoqianganbianjiaonang
头孢菌素类	toubaojunsulei
头孢西丁钠	toubaoxidingna
头痛宁胶囊	toutongningjiaonang
头痛片	toutongpian
头痛病	toutongbing
头皮挫伤	toupicuoshang
头皮损伤	toupisunshang
头皮撕脱伤	toupisituoshang
头皮瘙痒	toupisaoyang
头皮血肿	toupixuezhong
头皮裂伤	toupilieshang
头肌	touji
头臂干	toubigan
头节	toujie
头花蓼	touhualiao
头足类	touzulei
头静脉	toujingmai
头风病	toufengbing
夹竹桃中毒	jiazhutaozhongdu
夹脊穴	jiajixue
奇效良方	qixiaoliangfang
奇正消痛贴膏	qizhengxiaotongtiegao
奈普生	naipusheng
奈替米星	naitimixing
奈瑟氏菌	naiseshijun
奈非那韦	naifeinawei
奈韦拉平	naiweilaping
奈韦拉平片	naiweilapingpian
奋乃静	fennaijing
奔马律	benmalv
奥利司他	aolisita
奥利司他胶囊	aolisitajiaonang
奥卡西平片	aokaxipingpian
奥妮	aoni
奥扎格雷	aozhagelei
奥扎格雷钠	aozhageleina
奥拉西坦	aolaxitan
奥拉西坦注射液	aolaxitanzhusheye
奥施康定	aoshikangding
奥曲肽	aoqutai
奥格门汀	aogementing
奥氮平	aodanping
奥氮平片	aodanpingpian
奥沙利铂	aoshalibo
奥沙利铂注射液	aoshalibozhusheye
奥沙西泮	aoshaxipan
奥洛他定滴眼液	aoluotadingdiyanye
奥硝唑注射液	aoxiaozuozhusheye
奥美拉唑肠溶片	aomeilazuochangrongpian
奥美拉唑肠溶胶囊	aomeilazuochangrongjiaonang
奥美拉唑胶囊	aomeilazuojiaonang
奥美拉唑镁	aomeilazuomei
奥美拉唑镁肠溶片	aomeilazuomeichangrongpian
奥美沙坦酯	aomeishatanzhi
奥西那林	aoxinalin
女性假两性畸形	nvxingjialiangxingjixing
如意金黄散	ruyijinhuangsan
妄想型精神分裂症	wangxiangxingjingshenfenliezheng
妄想狂	wangxiangkuang
妇乐冲剂	fulechongji
妇产科学	fuchankexue
妇产科护理学	fuchankehulixue
妇女养血丸	funvyangxuewan
妇女带下	funvdaixia
妇女痛经丸	funvtongjingwan
妇婴保健	fuyingbaojian
妇婴医院	fuyingyiyuan
妇宁胶囊	funingjiaonang
妇平胶囊	fupingjiaonang
妇康宁胶囊	fukangningjiaonang
妇康片	fukangpian
妇月康胶囊	fuyuekangjiaonang
妇炎净片	fuyanjingpian
妇炎康丸	fuyankangwan
妇炎康复片	fuyankangfupian
妇炎康复胶囊	fuyankangfujiaonang
妇炎康片	fuyankangpian
妇炎泰颗粒	fuyantaikeli
妇炎消口服液	fuyanxiaokoufuye
妇科再造丸	fukezaizaowan
妇科分清丸	fukefenqingwan
妇科十味片	fukeshiweipian
妇科千金洗液	fukeqianjinxiye
妇科千金片	fukeqianjinpian
妇科千金胶囊	fukeqianjinjiaonang
妇科检查	fukejiancha
妇科止带片	fukezhidaipian
妇科止带胶囊	fukezhidaijiaonang
妇科止痒胶囊	fukezhiyangjiaonang
妇科用药	fukeyongyao
妇科白凤胶囊	fukebaifengjiaonang
妇科白带膏	fukebaidaigao
妇血康颗粒	fuxuekangkeli
妈咪爱	mamiai
妊娠合并心脏病	renshenhebingxinzangbing
妊娠合并阑尾炎	renshenhebinglanweiyan
妊娠水肿	renshenshuizhong
妊娠痒疹	renshenyangzhen
妊娠纹	renshenwen
妥布霉素	tuobumeisu
妥布霉素滴眼液	tuobumeisudiyanye
姜半夏	jiangbanxia
姜片虫病	jiangpianchongbing
姜英	jiangying
姿势反射	zishifanshe
威吓行为	weihexingwei
威麦宁胶囊	weimainingjiaonang
娃娃宁泡腾片	wawaningpaotengpian
婚姻治疗	hunyinzhiliao
婴儿健脾散	yingerjianpisan
婴儿坏疽性皮炎	yingerhuaijuxingpiyan
婴儿安片	yingeranpian
婴儿猝死综合症	yingercusizonghezheng
婴儿素	yingersu
媒介生物	meijieshengwu
嫌色细胞癌	xiansexibaoai
子孢子	zibaozi
子宫体	zigongti
子宫内翻	zigongneifan
子宫内膜	zigongneimo
子宫内膜增生	zigongneimozengsheng
子宫内膜异位囊肿	zigongneimoyiweinangzhong
子宫内膜异位症	zigongneimoyiweizheng
子宫内膜息肉	zigongneimoxirou
子宫内膜炎	zigongneimoyan
子宫内膜癌	zigongneimoai
子宫内膜结核	zigongneimojiehe
子宫内膜间质肉瘤	zigongneimojianzhirouliu
子宫切除术	zigongqiechushu
子宫前位	zigongqianwei
子宫动脉	zigongdongmai
子宫发育不良	zigongfayubuliang
子宫圆韧带	zigongyuanrendai
子宫底	zigongdi
子宫收缩	zigongshousuo
子宫畸形	zigongjixing
子宫移位	zigongyiwei
子宫穴	zigongxue
子宫穿孔	zigongchuankong
子宫粘膜下肌瘤	zigongzhanmoxiajiliu
子宫粘连	zigongzhanlian
子宫纵隔	zigongzongge
子宫肌层	zigongjiceng
子宫肌炎	zigongjiyan
子宫肌瘤	zigongjiliu
子宫肥大	zigongfeida
子宫脱垂	zigongtuochui
子宫腺肌病	zigongxianjibing
子宫萎缩	zigongweisuo
子宫阔韧带	zigongkuorendai
子宫颈原位癌	zigongjingyuanweiai
子座	zizuo
孔圣枕中丸	kongshengzhenzhongwan
孔圣枕中丹	kongshengzhenzhongdan
孔最	kongzui
孔源性视网膜脱离	kongyuanxingshiwangmotuoli
孕三烯酮胶囊	yunsanxitongjiaonang
孕二烯酮	yunerxitong
孕囊	yunnang
孕囊回声	yunnanghuisheng
孕康口服液	yunkangkoufuye
孕酮测定	yuntongceding
孟氏骨折	mengshiguzhe
孟鲁司特钠	menglusitena
孟鲁司特钠咀嚼片	menglusitenajujuepian
孢子菌	baozijun
孢子虫病	baozichongbing
季德胜蛇药	jideshengsheyao
季德胜蛇药片	jideshengsheyaopian
季相	jixiang
季节型	jijiexing
孤立肾	gulishen
学习障碍	xuexizhangai
学校卫生	xuexiaoweisheng
宁嗽化痰丸	ningsouhuatanwan
宁心安神胶囊	ningxinanshenjiaonang
宁心宝胶囊	ningxinbaojiaonang
宁泌泰胶囊	ningmitaijiaonang
宁血汤	ningxuetang
安乃近注射液	annaijinzhusheye
安乃近滴鼻液	annaijindibiye
安乐片	anlepian
安体舒通	antishutong
安儿宁颗粒	anerningkeli
安全性行为	anquanxingxingwei
安全注射	anquanzhushe
安全范围	anquanfanwei
安全防护	anquanfanghu
安嗽糖浆	ansoutangjiang
安坤赞育丸	ankunzanyuwan
安宫止血颗粒	angongzhixuekeli
安宫牛黄丸	angongniuhuangwan
安宫牛黄片	angongniuhuangpian
安宫降压丸	angongjiangyawan
安宫黄体酮	angonghuangtitong
安康欣胶囊	ankangxinjiaonang
安慰剂效应	anweijixiaoying
安痛定注射液	antongdingzhusheye
安眠穴	anmianxue
安眠补脑口服液	anmianbunaokoufuye
安眠补脑糖浆	anmianbunaotangjiang
安神丸	anshenwan
安神健脑液	anshenjiannaoye
安神益脑丸	anshenyinaowan
安神胶囊	anshenjiaonang
安神补心丸	anshenbuxinwan
安神补心颗粒	anshenbuxinkeli
安神补脑口服液	anshenbunaokoufuye
安神补脑液	anshenbunaoye
安神补脑片	anshenbunaopian
安神补脑颗粒	anshenbunaokeli
安络化纤丸	anluohuaxianwan
安络痛片	anluotongpian
安胃胶囊	anweijiaonang
安阳固本膏	anyanggubengao
宋梧生	songwusheng
宋瑞楼	songruilou
完全性失语	wanquanxingshiyu
完全抗原	wanquankangyuan
完带汤	wandaitang
完谷不化	wangubuhua
官窍	guanqiao
定向细胞	dingxiangxibao
定向训练	dingxiangxunlian
定向障碍	dingxiangzhangai
定喘	dingchuan
定喘穴	dingchuanxue
定性研究	dingxingyanjiu
定眩丸	dingxuanwan
定群研究	dingqunyanjiu
定量研究	dingliangyanjiu
定量资料	dingliangziliao
宝宝乐	baobaole
宝宝金水	baobaojinshui
实体癌	shitiai
实则泻之	shizexiezhi
实时成像	shishichengxiang
实热	shire
实热证	shirezheng
实验室检查	shiyanshijiancha
实验室生物安全	shiyanshishengwuanquan
实验核医学	shiyanheyixue
实验社会心理学	shiyanshehuixinlixue
实验诊断学	shiyanzhenduanxue
审讯心理学	shenxunxinlixue
宣肺止嗽合剂	xuanfeizhisouheji
室上性心动过速	shishangxingxindongguosu
室性心动过速	shixingxindongguosu
室性心律失常	shixingxinlvshichang
室管膜瘤	shiguanmoliu
室间孔	shijiankong
室间隔穿孔	shijiangechuankong
室间隔缺损	shijiangequesun
室间隔缺损修补术	shijiangequesunxiubushu
室间隔缺损封堵术	shijiangequesunfengdushu
室间隔膜部	shijiangemobu
宫炎平片	gongyanpingpian
宫炎平胶囊	gongyanpingjiaonang
宫瘤清片	gongliuqingpian
宫腔镜检查	gongqiangjingjiancha
宫血宁胶囊	gongxueningjiaonang
宫颈刮片	gongjingguapian
宫颈息肉	gongjingxirou
宫颈涂片	gongjingtupian
宫颈肌瘤	gongjingjiliu
家族性地中海热	jiazuxingdizhonghaire
家族性结肠息肉	jiazuxingjiechangxirou
宽筋藤	kuanjinteng
宽胸散结	kuanxiongsanjie
宿玉成	suyucheng
寄生虫感染	jishengchongganran
寄生追风液	jishengzhuifengye
密切接触者	miqiejiechuzhe
密度梯度离心	midutidulixin
寇热	koure
富血口服液	fuxuekoufuye
富马酸亚铁	fumasuanyatie
富马酸喹硫平	fumasuankuiliuping
富马酸喹硫平片	fumasuankuiliupingpian
富马酸异丙吡仑片	fumasuanyibingbilunpian
富马酸比索洛尔片	fumasuanbisuoluoerpian
富马酸福莫特罗	fumasuanfumoteluo
富马酸酮替芬	fumasuantongtifen
寒冷性多形红斑	hanlengxingduoxinghongban
寒冷性脂膜炎	hanlengxingzhimoyan
寒冷性荨麻疹	hanlengxingxunmazhen
寒喘祖帕颗粒	hanchuanzupakeli
寒性脓肿	hanxingnongzhong
寒湿困脾	hanshikunpi
寒湿证	hanshizheng
寒热痹胶囊	hanrebijiaonang
寒热错杂	hanrecuoza
寰枕关节	huanzhenguanjie
寰枢关节	huanshuguanjie
寰椎骨折	huanchuiguzhe
寸关尺	cunguanchi
对乙酰氨基酚栓	duiyixiananjifenshuan
对乙酰氨基酚溶液	duiyixiananjifenrongye
对乙酰氨基酚滴剂	duiyixiananjifendiji
对乙酰氨基酚片	duiyixiananjifenpian
对二氯苯	duierlvben
对叔丁基苯酚	duishudingjibenfen
对比敏感度	duibimingandu
对氨基偶氮苯	duianjioudanben
对氨基水杨酸钠	duianjishuiyangsuanna
对氨基苯甲酸	duianjibenjiasuan
对流混合	duiliuhunhe
对硝基苯胺	duixiaojibenan
对立违抗性障碍	duiliweikangxingzhangai
对羟基苯甘氨酸	duiqiangjibenganansuan
对羟基苯甲酸丁酯	duiqiangjibenjiasuandingzhi
对羟基苯甲酸丙酯	duiqiangjibenjiasuanbingzhi
对羟基苯甲酸乙酯	duiqiangjibenjiasuanyizhi
对羟基苯甲酸甲酯	duiqiangjibenjiasuanjiazhi
寻常型银屑病	xunchangxingyinxiebing
寻常性痤疮	xunchangxingcuochuang
寻常痤疮	xunchangcuochuang
导尿术	daoniaoshu
导管内乳头状瘤	daoguanneirutouzhuangliu
导管插入术	daoguancharushu
寿命表	shoumingbiao
寿星补汁	shouxingbuzhi
寿比山	shoubishan
寿比山片	shoubishanpian
射干利咽口服液	yeganliyankoufuye
射干抗病毒注射液	yegankangbingduzhusheye
射精障碍	shejingzhangai
射频消融术	shepinxiaorongshu
小于胎龄儿	xiaoyutailinger
小便不利	xiaobianbuli
小便淋沥	xiaobianlinli
小便短赤	xiaobianduanchi
小便频数	xiaobianpinshuo
小儿七星茶	xiaoerqixingcha
小儿七星茶口服液	xiaoerqixingchakoufuye
小儿七星茶糖浆	xiaoerqixingchatangjiang
小儿七星茶颗粒	xiaoerqixingchakeli
小儿健脾散	xiaoerjianpisan
小儿内科学	xiaoerneikexue
小儿利宝	xiaoerlibao
小儿功劳止泻颗粒	xiaoergonglaozhixiekeli
小儿化痰止咳颗粒	xiaoerhuatanzhikekeli
小儿化食丸	xiaoerhuashiwan
小儿化食口服液	xiaoerhuashikoufuye
小儿咳喘	xiaoerkechuan
小儿咳喘灵	xiaoerkechuanling
小儿咳喘灵冲剂	xiaoerkechuanlingchongji
小儿咳喘灵口服液	xiaoerkechuanlingkoufuye
小儿咳喘灵颗粒	xiaoerkechuanlingkeli
小儿咳喘颗粒	xiaoerkechuankeli
小儿咳嗽糖浆	xiaoerkesoutangjiang
小儿咽扁颗粒	xiaoeryanbiankeli
小儿四维葡钙颗粒	xiaoersiweipugaikeli
小儿回春丹	xiaoerhuichundan
小儿外科	xiaoerwaike
小儿外科学	xiaoerwaikexue
小儿安	xiaoeran
小儿定风丸	xiaoerdingfengwan
小儿宝泰康颗粒	xiaoerbaotaikangkeli
小儿宣肺止咳颗粒	xiaoerxuanfeizhikekeli
小儿惊	xiaoerjing
小儿惊风	xiaoerjingfeng
小儿感冒	xiaoerganmao
小儿感冒口服液	xiaoerganmaokoufuye
小儿感冒宁糖浆	xiaoerganmaoningtangjiang
小儿感冒片	xiaoerganmaopian
小儿感冒颗粒	xiaoerganmaokeli
小儿推拿学	xiaoertuinaxue
小儿敷脐止泻散	xiaoerfuqizhixiesan
小儿柴桂退热颗粒	xiaoerchaiguituirekeli
小儿止咳糖浆	xiaoerzhiketangjiang
小儿止嗽金丹	xiaoerzhisoujindan
小儿氨基酸注射液	xiaoeranjisuanzhusheye
小儿氨酚烷胺	xiaoeranfenwanan
小儿氨酚烷胺颗粒	xiaoeranfenwanankeli
小儿消食片	xiaoerxiaoshipian
小儿消食颗粒	xiaoerxiaoshikeli
小儿清感灵片	xiaoerqingganlingpian
小儿清热止咳糖浆	xiaoerqingrezhiketangjiang
小儿清热止咳颗粒	xiaoerqingrezhikekeli
小儿清热片	xiaoerqingrepian
小儿清肺化痰颗粒	xiaoerqingfeihuatankeli
小儿清肺止咳片	xiaoerqingfeizhikepian
小儿清解颗粒	xiaoerqingjiekeli
小儿热咳口服液	xiaoerrekekoufuye
小儿热速清口服液	xiaoerresuqingkoufuye
小儿热速清糖浆	xiaoerresuqingtangjiang
小儿热速清颗粒	xiaoerresuqingkeli
小儿疳积	xiaoerganji
小儿硫酸亚铁糖浆	xiaoerliusuanyatietangjiang
小儿维生素咀嚼片	xiaoerweishengsujujuepian
小儿羚羊散	xiaoerlingyangsan
小儿肝炎	xiaoerganyan
小儿肠炎	xiaoerchangyan
小儿肠胃康颗粒	xiaoerchangweikangkeli
小儿肺热咳喘颗粒	xiaoerfeirekechuankeli
小儿腹泻宁糖浆	xiaoerfuxieningtangjiang
小儿腹泻散	xiaoerfuxiesan
小儿腹泻贴	xiaoerfuxietie
小儿至宝丸	xiaoerzhibaowan
小儿药证直诀	xiaoeryaozhengzhijue
小儿葫芦散	xiaoerhulusan
小儿豉翘清热颗粒	xiaoershiqiaoqingrekeli
小儿退热口服液	xiaoertuirekoufuye
小儿退热颗粒	xiaoertuirekeli
小儿金丹片	xiaoerjindanpian
小儿麻痹糖丸	xiaoermabitangwan
小儿鼻炎	xiaoerbiyan
小卫星	xiaoweixing
小口畸形	xiaokoujixing
小圆肌	xiaoyuanji
小头畸形	xiaotoujixing
小建中汤	xiaojianzhongtang
小承气汤	xiaochengqitang
小施尔康	xiaoshierkang
小林姬鼠	xiaolinjishu
小柴胡冲剂	xiaochaihuchongji
小柴胡汤	xiaochaihutang
小柴胡汤丸	xiaochaihutangwan
小柴胡片	xiaochaihupian
小柴胡颗粒	xiaochaihukeli
小梁切除术	xiaoliangqiechushu
小檗碱	xiaobojian
小汗腺	xiaohanxian
小活络丸	xiaohuoluowan
小活络丹	xiaohuoluodan
小潭山	xiaotanshan
小牛血清去蛋白	xiaoniuxueqingqudanbai
小盾片	xiaodunpian
小细胞	xiaoxibao
小细胞癌	xiaoxibaoai
小结节	xiaojiejie
小续命汤	xiaoxumingtang
小耳畸形	xiaoerjixing
小肠俞穴	xiaochangyuxue
小肠息肉	xiaochangxirou
小肠恶性肿瘤	xiaochangexingzhongliu
小肠梗阻	xiaochanggengzu
小肠溃疡	xiaochangkuiyang
小肠疝	xiaochangshan
小肠破裂	xiaochangpolie
小肠移植	xiaochangyizhi
小肠结肠炎	xiaochangjiechangyan
小肠造影	xiaochangzaoying
小胶质细胞	xiaojiaozhixibao
小脑出血	xiaonaochuxie
小脑性共济失调	xiaonaoxinggongjishitiao
小脑扁桃体	xiaonaobiantaoti
小脑梗塞	xiaonaogengse
小脑脓肿	xiaonaonongzhong
