# 泰深输入法专业词库 — 汽车
# 来源：THUOCL 清华开放中文词库（MIT License，https://github.com/thunlp/THUOCL）
# 格式：词 拼音（制表符分隔）；仅收录 system_dict 缺失词条
一二档	yierdang
气门室盖垫	qimenshigaidian
气门室罩盖	qimenshizhaogai
气门弹簧	qimentanhuang
气门弹簧座	qimentanhuangzuo
气门摇臂轴	qimenyaobizhou
气门盖	qimengai
气门调整螺丝	qimentiaozhengluosi
氢动力燃料电池车	qingdongliranliaodianchiche
氢动四号	qingdongsihao
氢气转子发动机	qingqizhuanzifadongji
水位感应器	shuiweiganyingqi
水晶香水瓶	shuijingxiangshuiping
水泵出水管	shuibengchushuiguan
水泵叶轮	shuibengyelun
水泵垫	shuibengdian
水泵进水管	shuibengjinshuiguan
水泵部件	shuibengbujian
水温传感器	shuiwenchuanganqi
水温感应塞	shuiwenganyingsai
水温指示灯	shuiwenzhishideng
水温灯	shuiwendeng
水箱副水壶	shuixiangfushuihu
水箱胶垫	shuixiangjiaodian
水陆两栖汽车	shuiluliangqiqiche
永源飞碟	yongyuanfeidie
永磁减速起动机	yongcijiansuqidongji
永诚保险	yongchengbaoxian
江南奥拓	jiangnanaotuo
江铃福特	jianglingfute
江铃陆风	jianglinglufeng
江铃集团	jianglingjituan
汽油液位传感器	qiyouyeweichuanganqi
汽油直喷技术	qiyouzhipenjishu
汽车主动安全性	qichezhudonganquanxing
汽车产业研究	qichechanyeyanjiu
汽车价格	qichejiage
汽车传感器的检测	qichechuanganqidejiance
汽车保姆	qichebaomu
汽车信用卡	qichexinyongka
汽车俱乐部	qichejulebu
汽车制动效能	qichezhidongxiaoneng
汽车制动液	qichezhidongye
汽车加气站操作工	qichejiaqizhancaozuogong
汽车动力指标	qichedonglizhibiao
汽车化工用品	qichehuagongyongpin
汽车台	qichetai
汽车启动电源	qicheqidongdianyuan
汽车品牌与商标	qichepinpaiyushangbiao
汽车品牌与文化	qichepinpaiyuwenhua
汽车品牌营销	qichepinpaiyingxiao
汽车喷漆工艺	qichepenqigongyi
汽车四轮定位	qichesilundingwei
汽车增值税	qichezengzhishui
汽车安全驾驶技术	qicheanquanjiashijishu
汽车实用查询	qicheshiyongchaxun
汽车工程手册	qichegongchengshouce
汽车影音	qicheyingyin
汽车扭矩	qicheniuju
汽车抛锚	qichepaomao
汽车挂件	qicheguajian
汽车挡位数	qichedangweishu
汽车挡风玻璃	qichedangfengboli
汽车排放标准	qichepaifangbiaozhun
汽车整形技术	qichezhengxingjishu
汽车智能安全气囊	qichezhinenganquanqinang
汽车智能钥匙	qichezhinengyaoshi
汽车最大爬坡度	qichezuidapapodu
汽车最小离地间隙	qichezuixiaolidijianxi
汽车服务俱乐部	qichefuwujulebu
汽车机械制图	qichejixiezhitu
汽车机电技术	qichejidianjishu
汽车梦工场	qichemenggongchang
汽车模拟驾驶系统	qichemonijiashixitong
汽车残值	qichecanzhi
汽车汽配专业服务	qicheqipeizhuanyefuwu
汽车消费信贷	qichexiaofeixindai
汽车牵引	qicheqianyin
汽车用品与附件	qicheyongpinyufujian
汽车用柴油	qicheyongchaiyou
汽车电子电器	qichedianzidianqi
汽车电脑维修教程	qichediannaoweixiujiaocheng
汽车的变速器	qichedebiansuqi
汽车的零公里	qichedelinggongli
汽车盘式制动器	qichepanshizhidongqi
汽车空调压缩机	qichekongtiaoyasuoji
汽车维修技术	qicheweixiujishu
汽车维修设备	qicheweixiushebei
汽车网络营销	qichewangluoyingxiao
汽车芯片	qichexinpian
汽车营销	qicheyingxiao
汽车行业动态	qichehangyedongtai
汽车装饰服务中心	qichezhuangshifuwuzhongxin
汽车覆盖件	qichefugaijian
汽车贸易有限公司	qichemaoyiyouxiangongsi
汽车车体结构	qichechetijiegou
汽车车载导航	qichechezaidaohang
汽车轮距	qichelunju
汽车运行作业计划	qicheyunxingzuoyejihua
汽车遥控	qicheyaokong
汽车遥控钥匙	qicheyaokongyaoshi
汽车销售服务	qichexiaoshoufuwu
汽车防追尾装置	qichefangzhuiweizhuangzhi
汽车零部件	qichelingbujian
汽车零部件整合	qichelingbujianzhenghe
汽车音响解码大全	qicheyinxiangjiemadaquan
汽车风洞	qichefengdong
汽车饰品套	qicheshipintao
汽车高位制动灯	qichegaoweizhidongdeng
汽配公司	qipeigongsi
沃克斯豪尔	wokesihaoer
沃尔沃客车	woerwokeche
沙漠之虎	shamozhihu
沙漠越野车	shamoyueyeche
沙漠车	shamoche
没有现车	meiyouxianche
河北荣华	hebeironghua
油中宝	youzhongbao
油品类	youpinlei
油封漏油	youfenglouyou
油底壳垫	youdikedian
油泵单向阀	youbengdanxiangfa
油田专用车	youtianzhuanyongche
油箱开关	youxiangkaiguan
油箱浮筒	youxiangfutong
油耗传感器	youhaochuanganqi
油路总成测试机	youluzongchengceshiji
油路漏油	yoululouyou
法拉利越野车	falaliyueyeche
法雷奥集团	faleiaojituan
泡沫清洗剂	paomoqingxiji
注油管	zhuyouguan
洗涤泵	xidibeng
活塞肖	huosaixiao
活性炭罐电磁阀	huoxingtanguandiancifa
派力奥周末风	pailiaozhoumofeng
派喜	paixi
浇注速度	jiaozhusudu
测试机	ceshiji
济南液压泵	jinanyeyabeng
浙江吉利控股集团	zhejiangjilikonggujituan
浙江汽车工程学院	zhejiangqichegongchengxueyuan
浙江汽车网	zhejiangqichewang
浙江瑞立集团公司	zhejiangruilijituangongsi
浙江车网	zhejiangchewang
消声器尾	xiaoshengqiwei
消声器接管	xiaoshengqijieguan
涨紧轮	zhangjinlun
涨闸	zhangzha
液力转向泵	yelizhuanxiangbeng
液化石油气汽车	yehuashiyouqiqiche
液压式离合器系统	yeyashiliheqixitong
液压油压力表	yeyayouyalibiao
液氮加速	yedanjiasu
液罐车	yeguanche
淘淘二手车	taotaoershouche
混合动力电动汽车	hunhedonglidiandongqiche
清洁能源汽车	qingjienengyuanqiche
温度传感器线束	wenduchuanganqixianshu
温控开关	wenkongkaiguan
游动齿轮	youdongchilun
湖北汽车工业学院	hubeiqichegongyexueyuan
湛江汽车网	zhanjiangqichewang
湾岸午夜俱乐部	wananwuyejulebu
源动力	yuandongli
滤芯总成	lvxinzongcheng
漆面保护膜	qimianbaohumo
漏防冻液	loufangdongye
潜水跑车	qianshuipaoche
澳门大赛车博物馆	aomendasaichebowuguan
激转	jizhuan
火炮牵引车	huopaoqianyinche
火烧车	huoshaoche
点火模块	dianhuomokuai
点火线圈	dianhuoxianquan
点火线圈总成	dianhuoxianquanzongcheng
点火钥匙	dianhuoyaoshi
烟台国际车展	yantaiguojichezhan
烟灰盒	yanhuihe
烟灰缸前	yanhuigangqian
烟灰缸盖	yanhuiganggai
热控制阀	rekongzhifa
熄火器	xihuoqi
熄火拉线	xihuolaxian
熄火电磁阀	xihuodiancifa
燃油蒸发排放控制	ranyouzhengfapaifangkongzhi
燃烧过程	ranshaoguocheng
爱墨绿	aimolv
牌照板	paizhaoban
牌照框	paizhaokuang
牌照灯护板	paizhaodenghuban
牙嵌式自锁差速器	yaqianshizisuochasuqi
牡丹客车	mudankeche
牵引力控制系统	qianyinlikongzhixitong
牵引汽车	qianyinqiche
特黑	tehei
猎豹飞腾	liebaofeiteng
猫扑汽车	maopuqiche
玛希拉蒂	maxiladi
玛瑙灰	manaohui
玩车	wanche
现代悦动	xiandaiyuedong
现代新胜达	xiandaixinshengda
现代王	xiandaiwang
现代维拉克斯	xiandaiweilakesi
现代雅科仕	xiandaiyakeshi
玻璃托架	bolituojia
玻璃摇把	boliyaoba
玻璃清洗液	boliqingxiye
珠海汽车网	zhuhaiqichewang
生产工艺技术	shengchangongyijishu
甲壳虫汽车	jiaqiaochongqiche
电动助力转向系统	diandongzhulizhuanxiangxitong
电动升降器	diandongshengjiangqi
电动摇机	diandongyaoji
电动玻璃	diandongboli
电动玻璃升降器	diandongbolishengjiangqi
电动车专用配件	diandongchezhuanyongpeijian
电动转向	diandongzhuanxiang
电压变换器	dianyabianhuanqi
电喷发动机	dianpenfadongji
电器仪表	dianqiyibiao
电子差速制动	dianzichasuzhidong
电子感应制动系统	dianziganyingzhidongxitong
电子电控	dianzidiankong
电子真空泵	dianzizhenkongbeng
电子阀	dianzifa
电子风扇	dianzifengshan
电子驻车制动系统	dianzizhuchezhidongxitong
电工胶带	diangongjiaodai
电池盒手柄	dianchiheshoubing
电源总开关	dianyuanzongkaiguan
电源转换器	dianyuanzhuanhuanqi
电源锁	dianyuansuo
电瓶卡子	dianpingqiazi
电瓶盖	dianpinggai
电瓶盖板	dianpinggaiban
电瓶连接线	dianpinglianjiexian
电磁减震器	diancijianzhenqi
电磁开关	diancikaiguan
电磁换向阀	diancihuanxiangfa
电路短路	dianluduanlu
白心可锻铸铁	baixinkeduanzhutie
皇冠锐志	huangguanruizhi
皮带涨紧	pidaizhangjin
盆角齿	penjiaochi
盒盖左	hegaizuo
盖垫	gaidian
盲点信息系统	mangdianxinxixitong
直列发动机	zhiliefadongji
直列四缸	zhiliesigang
直喷式燃烧室	zhipenshiranshaoshi
直拉杆	zhilagan
直拉杆接头总成	zhilaganjietouzongcheng
直接档	zhijiedang
直接驱动	zhijiequdong
真空吊具	zhenkongdiaoju
真空吸污车	zhenkongxiwuche
真空电磁阀	zhenkongdiancifa
真空管硬	zhenkongguanying
短圆柱滚子轴承	duanyuanzhugunzizhoucheng
矿用自卸车	kuangyongzixieche
硬派越野车	yingpaiyueyeche
硬连接牵引	yinglianjieqianyin
磨砂黑	moshahei
神农驾	shennongjia
福克斯小改款	fukesixiaogaikuan
福建戴姆勒	fujiandaimulei
福特全顺快运	futequanshunkuaiyun
福特爱虎	futeaihu
福特福克斯两厢	futefukesiliangxiang
福特蒙迪欧致胜	futemengdiouzhisheng
福田迷迪	futianmidi
福田风景冲浪	futianfengjingchonglang
离去角度	liqujiaodu
离合分泵	lihefenbeng
离合器摩擦片	liheqimocapian
科鲁兹	keluzi
秦川福莱尔	qinchuanfulaier
稀薄燃烧发动机	xiboranshaofadongji
稳定牵引控制系统	wendingqianyinkongzhixitong
空气清净机	kongqiqingjingji
空气清新剂	kongqiqingxinji
空气滤芯总成	kongqilvxinzongcheng
空腔注蜡	kongqiangzhula
空调压缩机皮带	kongtiaoyasuojipidai
空调暖风开关	kongtiaonuanfengkaiguan
空调泵	kongtiaobeng
空调涨紧轮	kongtiaozhangjinlun
空调滤网	kongtiaolvwang
空调滤芯	kongtiaolvxin
空调皮带张紧轮	kongtiaopidaizhangjinlun
空调管路	kongtiaoguanlu
空调高压管	kongtiaogaoyaguan
空间容积	kongjianrongji
立式珩磨机	lishihangmoji
立式精镗床	lishijingtangchuang
第一汽车集团公司	diyiqichejituangongsi
第一箱油	diyixiangyou
第四缸	disigang
米其林集团	miqilinjituan
米纳尔迪车队	minaerdichedui
粉末冶金产品	fenmoyejinchanpin
粉末冶金衬套	fenmoyejinchentao
粘性偶合器	zhanxingouheqi
粘性联轴节	zhanxinglianzhoujie
精品组件	jingpinzujian
精灵奔驰	jinglingbenchi
紧凑车型	jincouchexing
紧急控制阀	jinjikongzhifa
红喜力	hongxili
红色蔷薇	hongseqiangwei
约斯帝	yuesidi
纳智捷	nazhijie
纵臂扭转	zongbiniuzhuan
纸漏斗	zhiloudou
纽伯林赛道	niubolinsaidao
纽博格林	niubogelin
纽博格林赛道	niubogelinsaidao
组合表	zuhebiao
经典全顺	jingdianquanshun
经营处	jingyingchu
结构完整性	jiegouwanzhengxing
维伦纽夫赛道	weilunniufusaidao
维多利亚皇冠	weiduoliyahuangguan
缓冲胶	huanchongjiao
缩微图纸	suoweituzhi
缸内直喷	gangneizhipen
缺缸	quegang
缺陷产品	quexianchanpin
罩盖垫	zhaogaidian
置换补贴	zhihuanbutie
美国汽车协会	meiguoqichexiehui
美式校车	meishixiaoche
美的客车	meidekeche
美鹿	meilu
翘板开关	qiaobankaiguan
翱龙	aolong
翻转轴	fanzhuanzhou
翼子板隔音	yizibangeyin
老车主	laochezhu
考维特	kaoweite
肖子	xiaozi
胎侧胶	taicejiao
胎圈芯	taiquanxin
脉冲传感器	maichongchuanganqi
脉冲式电磁阀	maichongshidiancifa
脚垫黑色	jiaodianheise
脚瞪	jiaodeng
脚胶	jiaojiao
腿部空间	tuibukongjian
膜片式制动气室	mopianshizhidongqishi
膜片弹簧离合器	mopiantanhuangliheqi
膨涨阀	pengzhangfa
自动制动差速器	zidongzhidongchasuqi
自动变速箱	zidongbiansuxiang
自动变速箱油	zidongbiansuxiangyou
自动感应大灯	zidongganyingdadeng
自动排挡	zidongpaidang
自动排档变速箱	zidongpaidangbiansuxiang
自动操纵式变速器	zidongcaozongshibiansuqi
自动空调控制系统	zidongkongtiaokongzhixitong
自动补胎液	zidongbutaiye
自动豪华	zidonghaohua
自动车位锁	zidongcheweisuo
自卸翻斗车	zixiefandouche
自卸货车	zixiehuoche
自补液	zibuye
舍弗勒集团	shefuleijituan
节气门垫	jieqimendian
节气门控制单元	jieqimenkongzhidanyuan
芯片钥匙	xinpianyaoshi
苏州二手车网	suzhouershouchewang
英国劳斯莱斯集团	yingguolaosilaisijituan
英国汽车工业	yingguoqichegongye
英特拉格斯赛道	yingtelagesisaidao
英特格	yingtege
英菲尼迪	yingfeinidi
茂木赛道	maomusaidao
茶杯架	chabeijia
荣茂隔音	rongmaogeyin
菲亚特多宝	feiyateduobao
菲亚特熊猫	feiyatexiongmao
菲亚特西耶那	feiyatexiyena
菲利普岛赛道	feilipudaosaidao
菲德拉	feidela
蒙迪欧致胜	mengdiouzhisheng
蒸发器芯子	zhengfaqixinzi
蓄电池盖	xudianchigai
蓝牌车	lanpaiche
蜗牛喇叭	woniulaba
螺丝铆钉	luosimaoding
螺母垫片	luomudianpian
螺纹板	luowenban
行业法规	hangyefagui
行星齿轮	xingxingchilun
行星齿轮变速器	xingxingchilunbiansuqi
行星齿轮变速机构	xingxingchilunbiansujigou
行星齿轮托架	xingxingchiluntuojia
行星齿轮装置	xingxingchilunzhuangzhi
行车制动	xingchezhidong
行车灯	xingchedeng
补强板	buqiangban
补炉	bulu
表面缺陷	biaomianquexian
被动安全	beidonganquan
被动安全性	beidonganquanxing
西苑小区	xiyuanxiaoqu
视维视频会议系统	shiweishipinhuiyixitong
角齿	jiaochi
触媒转换器	chumeizhuanhuanqi
设计硬点	shejiyingdian
诊断报警系统	zhenduanbaojingxitong
诊断插头	zhenduanchatou
试乘试驾车	shichengshijiache
试车评测	shichepingce
试过车	shiguoche
试驾	shijia
试驾后	shijiahou
该车主	gaichezhu
调漆设备	diaoqishebei
谐振箱	xiezhenxiang
贝氏体球墨铸铁	beishitiqiumozhutie
负值轮毂	fuzhilungu
负极接地	fujijiedi
贾新光	jiaxinguang
赛拉图欧风	sailatuoufeng
赵公口长途汽车站	zhaogongkouchangtuqichezhan
起亚欧菲莱斯	qiyaoufeilaisi
起亚霸锐	qiyabarui
超级维特拉	chaojiweitela
超重型汽车列车	chaozhongxingqichelieche
越野客车	yueyekeche
越野车论坛	yueyecheluntan
路况下	lukuangxia
路安汽车俱乐部	luanqichejulebu
路宝节油	lubaojieyou
路帝	ludi
路环小型赛车场	luhuanxiaoxingsaichechang
车体保养	chetibaoyang
车体结构	chetijiegou
车内中控锁	cheneizhongkongsuo
车内后视镜	cheneihoushijing
车内温度传感器	cheneiwenduchuanganqi
车内阅读灯	cheneiyuedudeng
车坛百分百	chetanbaifenbai
车展期间	chezhanqijian
车管学院	cheguanxueyuan
车贴文化	chetiewenhua
车身主动控制系统	cheshenzhudongkongzhixitong
车身校正设备	cheshenjiaozhengshebei
车身清洗设备	cheshenqingxishebei
车轮动平衡机	chelundongpinghengji
车轮饰盖	chelunshigai
车载冰箱	chezaibingxiang
车载后座娱乐系统	chezaihouzuoyulexitong
车载对讲机	chezaiduijiangji
车载导航系统	chezaidaohangxitong
车载影碟机	chezaiyingdieji
车载电台	chezaidiantai
车载电话	chezaidianhua
车载自动诊断系统	chezaizidongzhenduanxitong
车辆外摆值	cheliangwaibaizhi
车辆外迁	cheliangwaiqian
车迷频道	chemipindao
车速表检验台	chesubiaojianyantai
车门开度限位器	chemenkaiduxianweiqi
车门扶手	chemenfushou
车门把手	chemenbashou
车门折页	chemenzheye
车门框	chemenkuang
车门玻璃	chemenboli
车门铰链	chemenjiaolian
车门隔音	chemengeyin
车门饰板	chemenshiban
车险计算	chexianjisuan
转向横拉杆球头	zhuanxianghenglaganqiutou
转向液	zhuanxiangye
转向灯开关	zhuanxiangdengkaiguan
转向灯灯泡	zhuanxiangdengdengpao
转向直拉杆	zhuanxiangzhilagan
转向管柱总成	zhuanxiangguanzhuzongcheng
转向节前	zhuanxiangjieqian
转向轮定位仪	zhuanxianglundingweiyi
转向齿轮泵	zhuanxiangchilunbeng
转子传感器	zhuanzichuanganqi
转子发动机	zhuanzifadongji
转弯指示灯	zhuanwanzhishideng
转矩变换器	zhuanjubianhuanqi
转速仪	zhuansuyi
转速传感器	zhuansuchuanganqi
轮定位	lundingwei
轮眉	lunmei
轮眉卡扣	lunmeikakou
轮眉后	lunmeihou
轮缸	lungang
轮罩	lunzhao
轮罩护板	lunzhaohuban
轮胎侧偏刚度	luntaicepiangangdu
轮胎换位	luntaihuanwei
轮胎翻新材料	luntaifanxincailiao
轮胎螺母拆装机	luntailuomuchaizhuangji
轮芯盖	lunxingai
轮边减速器	lunbianjiansuqi
轮边减速器总成	lunbianjiansuqizongcheng
轮边壳	lunbianke
轮边总成	lunbianzongcheng
轮间	lunjian
软连接牵引	ruanlianjieqianyin
轴承衬套	zhouchengchentao
轿车化	jiaochehua
轿车发动机	jiaochefadongji
达路	dalu
进口大切诺基	jinkoudaqienuoji
进口斯柯达	jinkousikeda
进气凸轮轴前	jinqitulunzhouqian
进气接管	jinqijieguan
进气格栅	jinqigezha
进气道转换阀	jinqidaozhuanhuanfa
进气门摇臂	jinqimenyaobi
远光指示灯	yuanguangzhishideng
远光灯泡	yuanguangdengpao
远舰	yuanjian
违章查询	weizhangchaxun
连接管	lianjieguan
连杆校正器	lianganjiaozhengqi
连杆轴承盖	lianganzhouchenggai
迪族车网	dizuchewang
逍客	xiaoke
通用件与标准件	tongyongjianyubiaozhunjian
通用别克	tongyongbieke
通风阀	tongfengfa
道奇公羊	daoqigongyang
道奇凯领	daoqikailing
道奇拓远者	daoqituoyuanzhe
遥控手柄	yaokongshoubing
遥控钥匙	yaokongyaoshi
邓禄普轮胎	denglupuluntai
郑州威佳专营店	zhengzhouweijiazhuanyingdian
郑州日产帕拉丁	zhengzhourichanpalading
部分车型	bufenchexing
都市彩虹	dushicaihong
都市骏马	dushijunma
酷路泽	kuluze
重型汽车联营公司	zhongxingqichelianyinggongsi
重庆国际车展	chongqingguojichezhan
野猫赛	yemaosai
野马福特	yemafute
金刚二代	jingangerdai
金旅客车	jinlvkeche
金港国际赛车场	jingangguojisaichechang
金牛座汽车	jinniuzuoqiche
金鹰	jinying
钢圈清洗剂	gangquanqingxiji
钢圈铝	gangquanlv
钢板垫块	gangbandiankuai
钢板套	gangbantao
钢板胶套	gangbanjiaotao
钢管弯头	gangguanwantou
钢管车	gangguanche
钢背	gangbei
钥匙开关	yaoshikaiguan
铃木北斗星	lingmubeidouxing
铃木吉姆尼	lingmujimuni
铃木红	lingmuhong
铃木维特拉	lingmuweitela
铃木集团	lingmujituan
铃鹿赛车场	linglusaichechang
铃鹿赛道	linglusaidao
铰接客车	jiaojiekeche
锁芯	suoxin
锋范	fengfan
锐骐多功能商用车	ruiqiduogongnengshangyongche
锥形堵塞	zhuixingduse
长丰猎豹	zhangfengliebao
长丰猎豹骐菱	zhangfengliebaoqiling
长丰猎豹黑金刚	zhangfengliebaoheijingang
长城哈弗	changchenghafu
长城嘉誉	changchengjiayu
长城精灵汽车	changchengjinglingqiche
长城轿车	changchengjiaoche
长安志翔	changanzhixiang
长安沃尔沃	changanwoerwo
长安福特新福克斯	changanfutexinfukesi
长安福特福克斯	changanfutefukesi
长安马自达	changanmazida
门提钮	mentiniu
门泵	menbeng
门灯开关	mendengkaiguan
门胶条	menjiaotiao
门边饰条	menbianshitiao
门防撞条	menfangzhuangtiao
间歇雨刮	jianxieyugua
防护薄膜	fanghubaomo
防抱制动系统	fangbaozhidongxitong
防拖车系统	fangtuochexitong
防撞加强板	fangzhuangjiaqiangban
防滑地板	fanghuadiban
防火墙隔音	fanghuoqianggeyin
防盗控制单元	fangdaokongzhidanyuan
防眩目后视镜	fangxuanmuhoushijing
防碎安全玻璃	fangsuianquanboli
防空灯	fangkongdeng
防追尾系统	fangzhuiweixitong
阶背式轿车	jiebeishijiaoche
阻车钉	zucheding
阿尔伯特公园赛道	aerbotegongyuansaidao
阿尔宾娜	aerbinna
阿尔法罗密欧	aerfaluomiou
阿斯顿马丁	asidunmading
陆地巡洋舰	ludixunyangjian
陆霸	luba
陆风新饰界	lufengxinshijie
陆风汽车	lufengqiche
陆风风华	lufengfenghua
陈光祖	chenguangzu
陡坡缓降	doupohuanjiang
陡坡缓降控制	doupohuanjiangkongzhi
随动转向	suidongzhuanxiang
随动转向大灯	suidongzhuanxiangdadeng
随动闸	suidongzha
随车工具	suichegongju
隔音产品	geyinchanpin
隔音品牌	geyinpinpai
隔音材料厂	geyincailiaochang
雅科仕	yakeshi
雅阁旅行版概念车	yagelvxingbangainianche
雨刮电机	yuguadianji
雨刮盖板	yuguagaiban
雨刮精	yuguajing
雨刮臂	yuguabi
雨刮间歇继电器	yuguajianxiejidianqi
雪佛兰乐驰	xuefulanlechi
雷诺方程式	leinuofangchengshi
雷诺梅甘娜	leinuomeiganna
霍根海姆赛道	huogenhaimusaidao
青专	qingzhuan
非全尺寸备胎	feiquanchicunbeitai
非常城市	feichangchengshi
非承载式车身	feichengzaishicheshen
非法改装车	feifagaizhuangche
非独立悬挂系统	feidulixuanguaxitong
靠电子传感器探	kaodianzichuanganqitan
面板装饰件	mianbanzhuangshijian
预紧式安全带	yujinshianquandai
颐达	yida
颜光明	yanguangming
风华一号	fenghuayihao
风扇偶合器	fengshanouheqi
风挡玻璃	fengdangboli
风景冲浪	fengjingchonglang
风景爱尔法	fengjingaierfa
风档刮水器	fengdangguashuiqi
风焊	fenghan
风阀	fengfa
风骏	fengjun
飞碟汽车	feidieqiche
飞行吉普	feixingjipu
飞轮壳	feilunke
飞轮齿圈	feilunchiquan
饰框	shikuang
饰盖	shigai
首次保养	shoucibaoyang
马力车重比	malichezhongbi
马来西亚大奖赛	malaixiyadajiangsai
马自达八	mazidaba
马自达劲翔	mazidajinxiang
马自达普力马	mazidapulima
驰野	chiye
驱动小齿轮	qudongxiaochilun
驻车制动指示灯	zhuchezhidongzhishideng
驻车灯	zhuchedeng
驾校一点通	jiaxiaoyidiantong
驾驶员侧	jiashiyuance
驾驶员座椅	jiashiyuanzuoyi
驾驶员警示控制	jiashiyuanjingshikongzhi
驾驶室减震器	jiashishijianzhenqi
驾驶疲劳预警系统	jiashipilaoyujingxitong
骆驼电瓶	luotuodianping
验车费用	yanchefeiyong
骨架油封	gujiayoufeng
高位制动灯	gaoweizhidongdeng
高位刹车	gaoweishache
高位刹车灯	gaoweishachedeng
高品质音响	gaopinzhiyinxiang
高浓度固化剂	gaonongduguhuaji
高精度直喷系统	gaojingduzhipenxitong
高速过弯	gaosuguowan
高音倒模	gaoyindaomo
魏红杰	weihongjie
鹰潭火车站	yingtanhuochezhan
鹿导	ludao
黄油加注机	huangyoujiazhuji
黄海汽车工程学院	huanghaiqichegongchengxueyuan
鼓风机壳	gufengjike
鼓风机电阻	gufengjidianzu
齐鲁客车	qilukeche
齿轮室盖	chilunshigai
齿轮齿条式转向	chilunchitiaoshizhuanxiang
