# taishenIME domain — sport
# format: word pinyin
# source: Wikipedia (CC BY-SA 4.0)
舞蹈理论	wudaolilun
水底曲棍球	shuidiqugunqiu
高山症	gaoshanzheng
得分	defen
優乃克	younaike
防守邊鋒	fangshoubianfeng
橫掃	hengsao
胡健燊	hujianshen
余清芳	yuqingfang
反勝	fansheng
座位数	zuoweishu
范斯	fansi
高飛犧牲打	gaofeixishengda
跆拳道舞	taiquandaowu
輪椅網球	lunyiwangqiu
起立致敬	qilizhijing
柏迪遜球場	baidixunqiuchang
切球	qieqiu
王晨佑	wangchenyou
世界帆船	shijiefanchuan
陸冠芝	luguanzhi
运动解剖学	yundongjiepouxue
中国网球协会	zhongguowangqiuxiehui
領隊	lingdui
攻擊指數	gongjizhishu
冰舞	bingwu
水中血战	shuizhongxuezhan
王明星	wangmingxing
引體上升	yintishangsheng
日耳曼擒拿术	riermanqinnashu
個人運動	gerenyundong
卡帕	kapa
野手	yeshou
第五届超级碗	diwujiechaojiwan
網球	wangqiu
四角泳褲	sijiaoyongku
有氧體操	youyangticao
驟死賽	zhousisai
角抵	jiaodi
輪空	lunkong
桑坦德体育宫	sangtandetiyugong
足球比赛规则	zuqiubisaiguize
羽量级	yuliangji
威尔士渔夫帽	weiershiyufumao
昆蟲採集	kunchongcaiji
个人最好成绩	gerenzuihaochengji
舞曲	wuqu
蓋爾式足球	gaiershizuqiu
蔡明諺	caimingyan
标准杆	biaozhungan
籃上干擾	lanshangganrao
软式网球	ruanshiwangqiu
增强运动会	zengqiangyundonghui
王厚傑	wanghoujie
波波池	bobochi
園遊會	yuanyouhui
弃踢手	qitishou
高喊助威	gaohanzhuwei
乐视体育	leshitiyu
领奖台	lingjiangtai
空中運動	kongzhongyundong
单人舞	danrenwu
一本	yiben
許績勝	xujisheng
排球紙	paiqiuzhi
水上步行球	shuishangbuxingqiu
雪橇	xueqiao
急救包	jijiubao
非洲體育	feizhoutiyu
打帶跑	dadaipao
國際象棋拳擊	guojixiangqiquanji
垃圾話	lajihua
國歌誤播事件	guogewuboshijian
西斯特瑪	xisitema
抱石	baoshi
苫布	shanbu
匹克球	pikeqiu
世界籃網球	shijielanwangqiu
中国射箭协会	zhongguoshejianxiehui
中國體育國際	zhongguotiyuguoji
肯恩	kenen
雪橇運動	xueqiaoyundong
馬海龍	mahailong
方哲美	fangzhemei
张维红	zhangweihong
防守截锋	fangshoujiefeng
贾淑君	jiashujun
黃品蓁	huangpinzhen
轻量级	qingliangji
代跑	daipao
蘇浩剛	suhaogang
康帕紐羅	kangpaniuluo
铜梁龙体育场	tonglianglongtiyuchang
風翼衝浪	fengyichonglang
超蝇量级	chaoyingliangji
張煥宜	zhanghuanyi
孫基禎	sunjizhen
體育局	tiyuju
李中日	lizhongri
安踏體育	antatiyu
鬥牛舞	douniuwu
馬術三項賽	mashusanxiangsai
越野	yueye
山本光学	shanbenguangxue
無路可逃	wuluketao
美式足球	meishizuqiu
迪克体育用品	diketiyuyongpin
滑冰	huabing
張羽霖	zhangyulin
雷慕尼	leimuni
鸿星尔克	hongxingerke
头位	touwei
李旻	limin
修斗	xiudou
健身房	jianshenfang
抢断	qiangduan
勾手	goushou
赛会制	saihuizhi
葉戴霞	yedaixia
風箏衝浪	fengzhengchonglang
跑步機	paobuji
廈門市體育场	shamenshitiyuchang
被全壘打率	beiquanleidalv
網球術語列表	wangqiushuyuliebiao
金日	jinri
升降班制度	shengjiangbanzhidu
狩猎武器	shouliewuqi
灰烬杯	huijinbei
剑经	jianjing
薛高足球中心	xuegaozuqiuzhongxin
陳柏宗	chenbaizong
丛艳霞	congyanxia
投擲	touzhi
菲律賓和平盃	feilvbinhepingbei
裴智桓	peizhihuan
体育地理学	tiyudilixue
運動服	yundongfu
羅文基	luowenji
退钱哥	tuiqiange
太极推手	taijituishou
奥布球场	aobuqiuchang
滑浪風翼	hualangfengyi
乳酸	rusuan
保衛格	baoweige
中国象棋协会	zhongguoxiangqixiehui
邱建興	qiujianxing
源深体育中心	yuanshentiyuzhongxin
大部队	dabudui
盼盼	panpan
王介甫	wangjiefu
摩托车越野赛	motuocheyueyesai
學生運動服	xueshengyundongfu
体育管理	tiyuguanli
世界杯	shijiebei
世界自行车日	shijiezixingcheri
漂移板	piaoyiban
大田棒球場	datianbangqiuchang
珍珠球	zhenzhuqiu
有效	youxiao
埃雷亚	aileiya
茵寶	yinbao
體育廳	tiyuting
麻瓜魁地奇	maguakuidiqi
巴恩格拉	baengela
银牌	yinpai
力健	lijian
古典式摔跤	gudianshishuaijiao
卡拉里帕亞特	kalalipayate
上網	shangwang
金牌	jinpai
三磷酸腺苷	sanlinsuanxiangan
假動作	jiadongzuo
武术历史	wushulishi
背包	beibao
江彩雲	jiangcaiyun
芭蕾软鞋	baleiruanxie
隔山打牛	geshandaniu
甲麻黄碱	jiamahuangjian
陳妙怡	chenmiaoyi
高山跳伞滑雪	gaoshantiaosanhuaxue
畢立明	biliming
沙包	shabao
開球儀式	kaiqiuyishi
互射十二碼	husheshierma
常冰玉	changbingyu
巴塔體育場	batatiyuchang
慕尼黑惨案	muniheicanan
吳少璿	wushaoxuan
柔道	roudao
私人教練	sirenjiaolian
中信兄弟二軍	zhongxinxiongdierjun
王賢明	wangxianming
袋棍球	daigunqiu
三杀	sansha
看台	kantai
運動防護員	yundongfanghuyuan
飞球	feiqiu
加拿大式足球	jianadashizuqiu
普維敦斯灰	puweidunsihui
鄭大世	zhengdashi
先發投手	xianfatoushou
廖于誠	liaoyucheng
頭轉	touzhuan
謝金河	xiejinhe
三分制	sanfenzhi
杰克逊皮艇	jiekexunpiting
冬季運動	dongjiyundong
帆伞运动	fansanyundong
射虎	shehu
錫卜體育場	xibotiyuchang
最有價值選手	zuiyoujiazhixuanshou
中国滑冰协会	zhongguohuabingxiehui
佳得乐	jiadele
主教练	zhujiaolian
舉起勝利者	juqishenglizhe
篮球宝贝	lanqiubaobei
競賽馬	jingsaima
角斗士疱疹	jiaodoushipaozhen
眼鏡蛇高爾夫	yanjingshegaoerfu
運動醫學	yundongyixue
溜冰鞋	liubingxie
于格丽	yugeli
体育管理机构	tiyuguanlijigou
高智爾球	gaozhierqiu
瑞士軍刀	ruishijundao
衝浪	chonglang
練習生	lianxisheng
國際柔道總會	guojiroudaozonghui
香蕉船兄弟	xiangjiaochuanxiongdi
企业队	qiyedui
领队	lingdui
再春游泳池	zaichunyouyongchi
轻蝇量级	qingyingliangji
德国的拥枪证	deguodeyongqiangzheng
匹克體育	piketiyu
攻防箭	gongfangjian
薩普托體育場	saputuotiyuchang
周苏红	zhousuhong
施平華	shipinghua
帕拉自由車	palaziyouche
乒乓球	pingpangqiu
轻重量级	qingzhongliangji
德國柔術	deguoroushu
速度滑冰	suduhuabing
閃銀	shanyin
劉劭威	liushaowei
斌道	bindao
迎頭痛擊	yingtoutongji
功夫鞋	gongfuxie
李亚光	liyaguang
上海红双喜	shanghaihongshuangxi
浮板	fuban
表現增強物質	biaoxianzengqiangwuzhi
許玉芳	xuyufang
竹下佳江	zhuxiajiajiang
運動彩券	yundongcaiquan
肌肉	jirou
一分加踢	yifenjiati
鈎繩	gousheng
國王巨蛋	guowangjudan
黃亨利	huanghengli
伸卡球	shenkaqiu
女子篮球	nvzilanqiu
动地吟	dongdiyin
板羽球	banyuqiu
临时冠军	linshiguanjun
中岸球場	zhonganqiuchang
團結體育館	tuanjietiyuguan
水上滑行器	shuishanghuaxingqi
亞洲賽馬聯盟	yazhousaimalianmeng
球質	qiuzhi
鄭美琦	zhengmeiqi
等长运动	dengzhangyundong
台克球	taikeqiu
国际连珠联盟	guojilianzhulianmeng
球	qiu
梅湖体育中心	meihutiyuzhongxin
動元素	dongyuansu
達拉斯星	dalasixing
右外野手	youwaiyeshou
一壘手	yileishou
戰極	zhanji
球门	qiumen
奧克利公司	aokeligongsi
臺中金剛	taizhongjingang
洛桑協議	luosangxieyi
跆跟	taigen
長拳	zhangquan
雙打	shuangda
有氧健身操	youyangjianshencao
多项目运动	duoxiangmuyundong
水晶球杯	shuijingqiubei
跳繩	tiaosheng
石化體育館	shihuatiyuguan
哈帕斯托姆	hapasituomu
跳投	tiaotou
世界袋棍球	shijiedaigunqiu
投篮	toulan
蔡宗佑	caizongyou
身法八要	shenfabayao
四十八手	sishibashou
坡面障碍技巧	pomianzhangaijiqiao
世界盃威利	shijiebeiweili
陆俊	lujun
炒芥蘭	chaojielan
飞碟射击	feidiesheji
舉牌女郎	jupainvlang
優步競技場	youbujingjichang
鞋釘	xieding
杨胜雄	yangshengxiong
诺里斯赛道	nuolisisaidao
單車短褲	dancheduanku
公開性行為	gongkaixingxingwei
竞技场	jingjichang
葡萄酒舞	putaojiuwu
脸基尼	lianjini
抓舉	zhuaju
门球	menqiu
南拳	nanquan
芬蘭足球協會	fenlanzuqiuxiehui
波动拳	bodongquan
洪筱晴	hongxiaoqing
樂卡克	lekake
英義聯賽盃	yingyiliansaibei
斯篮搏	silanbo
国家射击中心	guojiashejizhongxin
完全終結	wanquanzhongjie
運動科學	yundongkexue
踏頻	tapin
音乐感	yinlegan
陈昌棉	chenchangmian
金银国	jinyinguo
李杰	lijie
短冰镐	duanbinggao
馬伽術	magashu
应援物	yingyuanwu
薩洛蒙集團	saluomengjituan
同注分彩法	tongzhufencaifa
內野手	neiyeshou
盔	kui
轮滑	lunhua
坎特伯雷	kantebolei
羅伊琳	luoyilin
彈指曲球	danzhiquqiu
中国手球协会	zhongguoshouqiuxiehui
车志红	chezhihong
藍絲帶獎	lansidaijiang
工資帽	gongzimao
劍道	jiandao
第七届超级碗	diqijiechaojiwan
朴英碩	puyingshuo
上海回力	shanghaihuili
軒特馬殊球場	xuantemashuqiuchang
銳克	ruike
租借	zujie
三羧酸循环	sansuosuanxunhuan
延伸四號位	yanshensihaowei
丹麥足球協會	danmaizuqiuxiehui
活球	huoqiu
烏克蘭體育	wukelantiyu
計時器	jishiqi
完全比賽	wanquanbisai
袴田巖	kutianyan
丙酮酸	bingtongsuan
陸雲鳳	luyunfeng
圣迭戈体育场	shengdiegetiyuchang
金國香	jinguoxiang
巡洋舰级	xunyangjianji
梅花旗	meihuaqi
肌肉學	jirouxue
植村直己	zhicunzhiji
世界撞球协会	shijiezhuangqiuxiehui
國際冰球聯盟	guojibingqiulianmeng
帆船運動	fanchuanyundong
長谷川恆男	zhangguchuanhengnan
防身術	fangshenshu
绿色怪物	lvseguaiwu
四分衛	sifenwei
直线竞速赛	zhixianjingsusai
棒球服	bangqiufu
齊沛林	qipeilin
足球類運動	zuqiuleiyundong
张弘	zhanghong
人民体育人	renmintiyuren
中国登山协会	zhongguodengshanxiehui
維京戰吼	weijingzhanhou
啦啦隊	laladui
桌上足球	zhuoshangzuqiu
黃劼希	huangjiexi
輪椅擊劍	lunyijijian
輪滑阻攔賽	lunhuazulansai
寶礦力水特	baokuanglishuite
壘包	leibao
扎维耶运动场	zhaweiyeyundongchang
外家拳	waijiaquan
國家田徑中心	guojiatianjingzhongxin
平出和也	pingchuheye
陳高山	chengaoshan
溯溪	suxi
薩雅	saya
物理治療	wulizhiliao
簡化曲棍球	jianhuaqugunqiu
主场优势	zhuchangyoushi
王韋仁	wangweiren
變速球	biansuqiu
老字號	laozihao
饒廷宇	raotingyu
重劍	zhongjian
飛狼	feilang
賴士雄	laishixiong
吳英華	wuyinghua
业余体育	yeyutiyu
中島健郎	zhongdaojianlang
太阳带联盟	taiyangdailianmeng
淺灘衝浪	qiantanchonglang
自行车运动	zixingcheyundong
點差交易	dianchajiaoyi
膝上舞	xishangwu
重量级	zhongliangji
操場	caochang
三项全能	sanxiangquanneng
健身單車	jianshendanche
板球	banqiu
软式曲棍球	ruanshiqugunqiu
比武大會	biwudahui
余錦漢	yujinhan
捕手起跳時間	bushouqitiaoshijian
迪亚多纳	diyaduona
孙秀兰	sunxiulan
力士	lishi
單膝跪地	danxiguidi
史丹利盃	shidanlibei
黃勃睿	huangborui
義大利藍隊	yidalilandui
文鶴棒球場	wenhebangqiuchang
日本學生泳衣	ribenxueshengyongyi
球迷會	qiumihui
衝浪板	chonglangban
刺殺	cisha
北面	beimian
击打	jida
妨礙中籃	fangaizhonglan
引火物	yinhuowu
傑志足球學院	jiezhizuqiuxueyuan
投殺	tousha
沙漠越野	shamoyueye
彈珠	danzhu
賴連光	lailianguang
郊遊	jiaoyou
新興運動	xinxingyundong
奔跑舞	benpaowu
球面	qiumian
止泳繩	zhiyongsheng
林德生	lindesheng
中華台北	zhonghuataibei
球場旅行	qiuchanglvxing
一桿進洞	yiganjindong
三星體育	sanxingtiyu
陈珍	chenzhen
紐約同好	niuyuetonghao
中国拳击协会	zhongguoquanjixiehui
脚踏船	jiaotachuan
烤盤足球	kaopanzuqiu
林旺億	linwangyi
帽子戲法	maozixifa
中国掷球协会	zhongguozhiqiuxiehui
應援色	yingyuanse
輪椅籃球	lunyilanqiu
蹦极	bengji
固特异	guteyi
槌球	chuiqiu
踏板舞	tabanwu
足球女将	zuqiunvjiang
游泳	youyong
二人三足	errensanzu
吊带泳衣	diaodaiyongyi
攀岩耳片	panyanerpian
飞盘高尔夫	feipangaoerfu
袜蹬	wadeng
马背体操	mabeiticao
斐乐	feile
標準舞	biaozhunwu
選秀	xuanxiu
謝語倢	xieyujie
郭偉邦	guoweibang
內勁	neijin
最大摄氧量	zuidasheyangliang
严润哲	yanrunzhe
海上飞行器	haishangfeixingqi
輪椅欖球	lunyilanqiu
運動心理學	yundongxinlixue
棒球手套	bangqiushoutao
泰甸尼球場	taidianniqiuchang
萊澤曼	laizeman
將門	jiangmen
吳昱廷	wuyuting
夏令營	xialingying
篮板	lanban
沙灘網球	shatanwangqiu
亞軍	yajun
三振四壞比	sanzhensihuaibi
奥林匹克奖状	aolinpikejiangzhuang
廊坊体育场	langfangtiyuchang
奥林匹克主义	aolinpikezhuyi
散打	sanda
雪砲	xuepao
乒乓球大滿貫	pingpangqiudamanguan
运动饮料	yundongyinliao
径赛大满贯	jingsaidamanguan
稻草车骑行	daocaocheqixing
本間高爾夫	benjiangaoerfu
草地滾球	caodigunqiu
比腕力	biwanli
交易	jiaoyi
執死雞	zhisiji
極限飛盤	jixianfeipan
短柄牆球	duanbingqiangqiu
體育學校	tiyuxuexiao
投掷运动	touzhiyundong
扔沙袋	rengshadai
滿壘	manlei
奧林匹克先生	aolinpikexiansheng
黄埔体育场	huangputiyuchang
钢胆	gangdan
紀慶然	jiqingran
清原和博	qingyuanhebo
中華冰球聯盟	zhonghuabingqiulianmeng
牙盘	yapan
劉金標	liujinbiao
王百川	wangbaichuan
袁嘉楠	yuanjianan
健身輪	jianshenlun
足排球	zupaiqiu
李國定	liguoding
障礙超越	zhangaichaoyue
坦克两项	tankeliangxiang
椭圆机	tuoyuanji
打击妨碍	dajifangai
純長打率	chunzhangdalv
运动损伤	yundongsunshang
黎发芳	lifafang
傷健運動員	shangjianyundongyuan
高仕利公司	gaoshiligongsi
滑浪風帆	hualangfengfan
一人左投	yirenzuotou
朴斗翼	pudouyi
吊床	diaochuang
太祖长拳	taizuzhangquan
編舞	bianwu
劉威廷	liuweiting
俄亥俄体育场	ehaietiyuchang
三冠王	sanguanwang
雙盜壘	shuangdaolei
球類運動	qiuleiyundong
麥達克斯	maidakesi
裸泳	luoyong
陳怡瑄	chenyixuan
佛朗明哥倫巴	fulangminggelunba
擦边球	cabianqiu
攀冰	panbing
澳式足球	aoshizuqiu
槳	jiang
翟超	dichao
洪恩情	hongenqing
球員	qiuyuan
韓式合氣道	hanshiheqidao
帆布足球鞋	fanbuzuqiuxie
桨板	jiangban
余艾玟	yuaiwen
中国桥牌协会	zhongguoqiaopaixiehui
劉敬儒	liujingru
電動輪椅足球	diandonglunyizuqiu
单杠	dangang
三級棒球	sanjibangqiu
千代白鵬大樹	qiandaibaipengdashu
列西克	liexike
賽伯計量學	saibojiliangxue
帕拉田徑	palatianjing
棒球規則	bangqiuguize
球權輪替	qiuquanlunti
單刀	dandao
勝利廣島車隊	shengliguangdaochedui
哈娑舞	hasuowu
体育运动历史	tiyuyundonglishi
扣篮	koulan
蠶室棒球場	canshibangqiuchang
楊德強	yangdeqiang
奥林匹克宪章	aolinpikexianzhang
木棋	muqi
李宁体育馆	liningtiyuguan
吳家輪椅太極	wujialunyitaiji
雲之南	yunzhinan
集体出发	jitichufa
蔡豐安	caifengan
古代五项	gudaiwuxiang
吳詩儀	wushiyi
九龍仔運動場	jiulongzaiyundongchang
运动员	yundongyuan
三船久藏	sanchuanjiucang
最轻量级	zuiqingliangji
定向運動	dingxiangyundong
體育館	tiyuguan
赵颖	zhaoying
克里夫蘭藍	kelifulanlan
評判	pingpan
下坡車	xiapoche
星探	xingtan
海兰江体育场	hailanjiangtiyuchang
亚玛芬体育	yamafentiyu
陳月	chenyue
國際泰拳總會	guojitaiquanzonghui
计时员	jishiyuan
羅鎬至	luohaozhi
大岩壁攀登	dayanbipandeng
翳	yi
滾地球型投手	gundiqiuxingtoushou
幽靈單車	youlingdanche
籃球場	lanqiuchang
木球	muqiu
二刀流	erdaoliu
沙灘手球	shatanshouqiu
第六届超级碗	diliujiechaojiwan
硬氣功	yingqigong
飛釣	feidiao
乃慧芳	naihuifang
攀爬架	panpajia
卡米基	kamiji
查尔斯顿舞	chaersidunwu
末日審判	morishenpan
旭鷲山昇	xujiushansheng
籃網球	lanwangqiu
桂顺姬	guishunji
日本職業摔角	ribenzhiyeshuaijiao
呼吸管	huxiguan
法国网球联会	faguowangqiulianhui
接应二传	jieyingerchuan
城市足球集團	chengshizuqiujituan
巔峰大賽	dianfengdasai
愛爾蘭的呼喚	aierlandehuhuan
短道速滑	duandaosuhua
东南联盟	dongnanlianmeng
體育舞蹈	tiyuwudao
威尔胜	weiersheng
同化類固醇	tonghualeiguchun
亞洲射箭聯盟	yazhoushejianlianmeng
顏郁軒	yanyuxuan
黃碧雲	huangbiyun
打擊手套	dajishoutao
格斗运动	gedouyundong
投捕搭檔	toubudadang
解壓球	jieyaqiu
張元植	zhangyuanzhi
黃金三劍客	huangjinsanjianke
冰上奇迹	bingshangqiji
帶式欖球	daishilanqiu
運動休閒風	yundongxiuxianfeng
四大賽	sidasai
婦女銀袋賽	funvyindaisai
西班牙體育	xibanyatiyu
陳健振	chenjianzhen
鐵頭功	tietougong
滑水	huashui
海德	haide
詹家圖	zhanjiatu
攀岩	panyan
加油棒	jiayoubang
組別	zubie
优斯宝	yousibao
沙灘褲	shatanku
陳誌祥	chenzhixiang
蜈蚣舞	wugongwu
觸殺	chusha
水球	shuiqiu
加能戴爾	jianengdaier
網球戰略	wangqiuzhanlve
闪电自行车	shandianzixingche
内罗毕条约	neiluobitiaoyue
傳球	chuanqiu
中国柔道协会	zhongguoroudaoxiehui
運動胸罩	yundongxiongzhao
裕彤体育场	yutongtiyuchang
楊洛穎	yangluoying
露露柠檬	luluningmeng
陪練員	peilianyuan
晃板	huangban
傅鍾文	fuzhongwen
劉欣宏	liuxinhong
卢桑达体育场	lusangdatiyuchang
趣味野外競賽	quweiyewaijingsai
二壘裁判	erleicaipan
楊榮華	yangronghua
户外运动	huwaiyundong
樂天二軍	letianerjun
拳击	quanji
三从一大	sancongyida
实用射击	shiyongsheji
極真會館	jizhenhuiguan
恰恰	qiaqia
謝葆錡	xiebaoqi
高武明	gaowuming
世界踢拳總會	shijietiquanzonghui
八佾舞	bayiwu
两双	liangshuang
板球道	banqiudao
露营	luying
山下球場	shanxiaqiuchang
陳冠豪	chenguanhao
蹼泳	puyong
吳文翰	wuwenhan
釘鞋	dingxie
總教練	zongjiaolian
交換球衣	jiaohuanqiuyi
新馬模體育場	xinmamotiyuchang
負重訓練	fuzhongxunlian
足球	zuqiu
韋爾特湖球場	weiertehuqiuchang
鳴鏑	mingdi
走扁带	zoubiandai
超級馬拉松	chaojimalasong
阿萊基體育場	alaijitiyuchang
動力運動	dongliyundong
超重量级	chaozhongliangji
擦棒被捕	cabangbeibu
比基尼大賽	bijinidasai
平塚競技場	pingzhongjingjichang
許玟瑄	xuwenxuan
范義龍	fanyilong
棒球的性隱喻	bangqiudexingyinyu
滚动起步	gundongqibu
雪鞋	xuexie
运动鞋科技	yundongxiekeji
麥敬年	maijingnian
吳俊霆	wujunting
哥美茲事件	gemeizishijian
舞隊	wudui
手球	shouqiu
林純玉	linchunyu
滑板	huaban
顏志中	yanzhizhong
單板滑雪	danbanhuaxue
球探	qiutan
铁人水陆两项	tierenshuiluliangxiang
戴宇軒	daiyuxuan
焦刘洋	jiaoliuyang
陶武訓	taowuxun
高美英	gaomeiying
