# 泰深输入法专业词库 — psychology
# 格式：词 拼音（每行一个，空格或制表符分隔）
# 来源：中文维基百科（CC BY-SA 4.0，https://zh.wikipedia.org）
哈菲茲	hafeizi
精神藥理學	jingshenyaolixue
多元智能理論	duoyuanzhinenglilun
周哈里窗	zhouhalichuang
感觉记忆	ganjuejiyi
巨婴	juying
刘世熠	liushiyi
顶叶	dingye
社会神经科学	shehuishenjingkexue
经济人	jingjiren
變狼妄想症	bianlangwangxiangzheng
羞耻	xiuchi
邏各斯	luogesi
个体心理学	getixinlixue
經驗	jingyan
人格心理學	rengexinlixue
認知失調	renzhishidiao
有意学习	youyixuexi
心智模型	xinzhimoxing
内啡肽	neifeitai
广告心理学	guanggaoxinlixue
狂热主义	kuangrezhuyi
聚光燈效應	juguangdengxiaoying
行为金融学	xingweijinrongxue
出醜效應	chuchouxiaoying
笔记	biji
跳跃性思维	tiaoyuexingsiwei
回應過程效度	huiyingguochengxiaodu
视崖	shiya
逃避自由	taobiziyou
潛伏期	qianfuqi
集體記憶	jitijiyi
社會支持	shehuizhichi
自責	zize
伊波加因	yibojiayin
詐病	zhabing
曼荼羅	mantuluo
左腦解譯器	zuonaojieyiqi
美国心理学家	meiguoxinlixuejia
道德责任	daodezeren
性兴奋	xingxingfen
庄周梦蝶	zhuangzhoumengdie
阶段理论	jieduanlilun
自知力	zizhili
夏蓬特錯覺	xiapengtecuojue
初梦	chumeng
幻愛	huanai
動物意識	dongwuyishi
珍妮海恩斯案	zhennihaiensian
情結	qingjie
知觉	zhijue
破坏性实验	pohuaixingshiyan
自我提升	ziwotisheng
现象主义	xianxiangzhuyi
歡樂	huanle
管理心理学	guanlixinlixue
帕罗奥图大学	paluoaotudaxue
血之轍	xuezhizhe
體制化症候群	tizhihuazhenghouqun
癢	yang
移情隔閡	yiqinggeai
羞怯	xiuqie
矛盾心理	maodunxinli
心像	xinxiang
语义记忆	yuyijiyi
自我妨碍	ziwofangai
垂直思考	chuizhisikao
現象學還原	xianxiangxuehaiyuan
心理战	xinlizhan
生成效應	shengchengxiaoying
羅生門效應	luoshengmenxiaoying
現象的意識	xianxiangdeyishi
抑制控制	yizhikongzhi
认知語文学	renzhiyuwenxue
黑暗恐懼症	heiankongjuzheng
零和思維	linghesiwei
触觉记忆	chujuejiyi
換位字母效應	huanweizimuxiaoying
蔑视	mieshi
人的成長	rendechengzhang
同一性	tongyixing
习惯性行为	xiguanxingxingwei
聆聽	lingting
神經經濟學	shenjingjingjixue
经颅电刺激	jingludianciji
組織承諾	zuzhichengnuo
精神焦慮	jingshenjiaolv
美人为馅	meirenweixian
煤气灯效应	meiqidengxiaoying
臨床心理學	linchuangxinlixue
回声定位	huishengdingwei
年龄越轨	nianlingyuegui
後悔	houhui
懸疑	xuanyi
离人心上	lirenxinshang
魂灵投射	hunlingtoushe
教学设计	jiaoxuesheji
血型性格學說	xuexingxinggexueshuo
年龄歧视	nianlingqishi
退化	tuihua
反社會行為	fanshehuixingwei
心理生理學	xinlishenglixue
性感	xinggan
內容效度	neirongxiaodu
青春版牡丹亭	qingchunbanmudanting
空想性错视	kongxiangxingcuoshi
心理不应期	xinlibuyingqi
自利	zili
描述倫理學	miaoshulunlixue
超忆症	chaoyizheng
心理测时法	xinliceshifa
管控功能	guankonggongneng
悖论	beilun
心理測驗	xinliceyan
語言剝奪實驗	yuyanboduoshiyan
肛欲期	gangyuqi
冷讀法	lengdufa
彩蛋	caidan
心境	xinjing
技術生命週期	jishushengmingzhouqi
组织行为学	zuzhixingweixue
原始反射	yuanshifanshe
施虐人格障礙	shinverengezhangai
日本心理学会	ribenxinlixuehui
視覺記憶	shijuejiyi
观察	guancha
通過儀禮	tongguoyili
情緒勞動	qingxulaodong
宣泄疗法	xuanxieliaofa
心理学家列表	xinlixuejialiebiao
魅力攻勢	meiligongshi
心理健康政策	xinlijiankangzhengce
藉由教而學	jiyoujiaoerxue
傻	sha
依附理論	yifulilun
超常現象	chaochangxianxiang
动物比喻测试	dongwubiyuceshi
社会助长	shehuizhuzhang
慾望	yuwang
难易效应	nanyixiaoying
牡丹亭	mudanting
道德演化	daodeyanhua
記憶入碼	jiyiruma
困惑	kunhuo
原動力缺乏	yuandongliquefa
趨化性	quhuaxing
自由联想	ziyoulianxiang
交互记忆	jiaohujiyi
法庭心理學	fatingxinlixue
異常行為	yichangxingwei
罪犯側寫	zuifancexie
认知行为疗法	renzhixingweiliaofa
心理驚悚	xinlijingsong
恐貓症	kongmaozheng
心理壓力	xinliyali
脑功能侧化	naogongnengcehua
棘手問題	jishouwenti
客觀性	keguanxing
遗忘曲线	yiwangquxian
黑暗三角人格	heiansanjiaorenge
犯罪學	fanzuixue
透明度错觉	toumingducuojue
去個人化	qugerenhua
擔心	danxin
推理	tuili
萊特納系統	laitenaxitong
女性主義	nvxingzhuyi
雷斯多夫效應	leisiduofuxiaoying
联觉	lianjue
权力意志	quanliyizhi
電痙攣療法	dianjingluanliaofa
学习迁移	xuexiqianyi
回忆	huiyi
舒適	shushi
幻謊	huanhuang
意識分裂	yishifenlie
效果律	xiaoguolv
神經語言規劃	shenjingyuyanguihua
壓力管理	yaliguanli
岛民心态	daominxintai
退行	tuixing
谷歌效应	gugexiaoying
諮商心理學	zishangxinlixue
該隱情結	gaiyinqingjie
刑事學	xingshixue
皇帝新脑	huangdixinnao
心理創傷	xinlichuangshang
解释级别理论	jieshijibielilun
周公解梦	zhougongjiemeng
互助團體	huzhutuanti
投票行為	toupiaoxingwei
吊橋效應	diaoqiaoxiaoying
貝克抑鬱量表	beikeyiyuliangbiao
心灵哲学	xinlingzhexue
偏側性	piancexing
移情	yiqing
英雄旅程	yingxionglvcheng
感情	ganqing
猫的智力	maodezhili
协调客观还原	xiediaokeguanhaiyuan
記憶樹	jiyishu
音樂情緒辨識	yinleqingxubianshi
菲利普實驗	feilipushiyan
结构功能主义	jiegougongnengzhuyi
傳媒暴力研究	chuanmeibaoliyanjiu
经颅磁刺激	jingluciciji
促發	cufa
社会知觉	shehuizhijue
催眠	cuimian
危机热线	weijirexian
超限效應	chaoxianxiaoying
認知扭曲	renzhiniuqu
可爱侵略	keaiqinlve
心理类型	xinlileixing
甘瑟症候群	gansezhenghouqun
自動化從眾	zidonghuacongzhong
情感	qinggan
聖經心理學	shengjingxinlixue
福祉	fuzhi
社交技巧	shejiaojiqiao
相思病	xiangsibing
確定性	quedingxing
道德自我许可	daodeziwoxuke
投射测验	tousheceyan
婚姻諮商	hunyinzishang
客体关系理论	ketiguanxililun
社會行為	shehuixingwei
无知	wuzhi
斯金纳箱	sijinnaxiang
气质	qizhi
限定刑事責任	xiandingxingshizeren
初級預防	chujiyufang
訊息處理理論	xunxichulililun
自我忽視	ziwohushi
外化	waihua
有轨电车难题	youguidianchenanti
範例理論	fanlililun
信仰发展阶段	xinyangfazhanjieduan
人性	renxing
畏	wei
普雷马克原則	puleimakeyuanze
學業壓力	xueyeyali
夢記	mengji
心理病态	xinlibingtai
他者	tazhe
视觉思维	shijuesiwei
黑度	heidu
前意识	qianyishi
颅相学	luxiangxue
李红	lihong
存在危機	cunzaiweiji
聯想心理學	lianxiangxinlixue
达尔文反射	daerwenfanshe
承擔特質	chengdantezhi
訴諸群眾	suzhuqunzhong
超感官知覺	chaoganguanzhijue
昏睡	hunshui
谈话疗法	tanhualiaofa
過度自信效應	guoduzixinxiaoying
默觀	moguan
空间记忆	kongjianjiyi
泥濘的餐桌	niningdecanzhuo
同情疲劳	tongqingpilao
集体无意识	jitiwuyishi
社会人格学	shehuirengexue
施虐症	shinvezheng
霍爾蘭六邊形	huoerlanliubianxing
另我	lingwo
互累症	huleizheng
鸭子测试	yaziceshi
靛色系小孩	diansexixiaohai
生日数字效应	shengrishuzixiaoying
面子協商理論	mianzixieshanglilun
口語流暢度	kouyuliuchangdu
個人建構理論	gerenjiangoulilun
记忆植入	jiyizhiru
力學概念評量	lixuegainianpingliang
現象學	xianxiangxue
消费者涉入	xiaofeizhesheru
感质	ganzhi
園徑句型	yuanjingjuxing
理論理論	lilunlilun
暖色	nuanse
男性学刊	nanxingxuekan
提取引發遺忘	tiquyinfayiwang
心理学词汇表	xinlixuecihuibiao
肉食主義	roushizhuyi
和平心理学	hepingxinlixue
電子語音現象	dianziyuyinxianxiang
愤怒管理	fennuguanli
疯子尊严	fengzizunyan
行为现代性	xingweixiandaixing
性欲	xingyu
长期记忆	zhangqijiyi
机械学习	jixiexuexi
自殺防治專線	zishafangzhizhuanxian
冷漠	lengmo
心理统计学	xinlitongjixue
智慧圈	zhihuiquan
現實原則	xianshiyuanze
因應	yinying
神经现象学	shenjingxianxiangxue
幸福	xingfu
輔導	fudao
性格歸因	xinggeguiyin
超觉静坐	chaojuejingzuo
夢魔	mengmo
歇斯底里	xiesidili
情緒自我調節	qingxuziwodiaojie
認知發展論	renzhifazhanlun
滿足	manzu
性格測試	xinggeceshi
正面心理學	zhengmianxinlixue
双耳听觉测试	shuangertingjueceshi
定量市場調查	dingliangshichangdiaocha
心理旋转	xinlixuanzhuan
口试	koushi
科學心理學	kexuexinlixue
遗忘	yiwang
期望確認理論	qiwangquerenlilun
受虐癖	shounvepi
注意長度	zhuyizhangdu
形象测定	xingxiangceding
記憶痕跡	jiyihenji
物哀	wuai
睡魔	shuimo
狂喜	kuangxi
認知偏誤	renzhipianwu
害羞诊所	haixiuzhensuo
吸血鬼效应	xixueguixiaoying
超個人心理學	chaogerenxinlixue
自拍	zipai
